Name,Phone,Address
Dr Gcobani Tuswa Ophthalmologist - Gmt Eyedoc,"Room 200  Life Carstenhof Hospital,
 21 Dane Road,
 Glen Austin , 1685",+27 16 420 3148
Dr George Mukhari Hospital - Ophthalmology Dept,"Kilwa Road,
 Dar Es Salaam",+27 12 529 3118
Dr Irene Marthina Freed,www.eyemagic.co.za,+27 11 794 8629
Dr J F Zondi Inc (Busamed),"Suite 102 1st Floor Horizon Eyecare Centre  Life P,
 54 Pasteur Drive,
 Hospitaalpark , 9301",+27 11 458 2362
Dr J F Zondi Inc (Medgate Medical Centre),"Benoni, Gauteng, South Africa",+27 11 768 1183
Dr J S Lamprecht Inc,"Busamed Modderfontein Private Hospital,
 4 Cransley Crescent Long Lake,
 Linbro Park , 2090",+27 11 268 6501
Dr Johann Streicher Lamprecht,"East London, Eastern Cape, South Africa",+27 11 268 6501
Dr Johannes Zacharias Eloff,"Suite 208  Mulbarton Medical Centre,
25 True North Road,
Mulbarton , 2190",+27 51 522 0237
Dr Juan Deseta Eye Surgeon,www.bmphooc.co.za,+27 41 373 3755
Dr Juan M Deseta,"Suite 6  Eye And Laser Institute,
205 Cape Road,
Mill Park , 6001",+27 41 373 3755
Dr Junaid Zondi,"Busamed Modderfontein Private Hospital,
4 Cransley Crescent Long Lake,
Linbro Park , 2090",+27 11 458 2362
Dr Junet van Der Merwe,"Vereeniging, Emfuleni Local Municipality, Gauteng, South Africa",+27 21 970 1441
Dr Karen Conradie,"Roodepoort, Gauteng, South Africa",+27 51 522 1790
Dr Lourens Coetzee Inc.,"Suite 01 First Floor  Ascot Park Hospital,
 3 Ascot Street,
 Greyville , 4001",+27 16 931 0217
Dr Lumko Ngetu,"Suite 211  Mediclinic Vereeniging,
 Cnr Hofmeyer Avenue & Joubert Street,
 Vereeniging , 1939",+27 16 440 5314
Dr Lumko Robert Ngetu,www.eloffeye.co.za,+27 16 440 5314
Dr M G Makakase Incorporated,"Pretoria Eye Institute,
 630 Francis Baard Street,
 Arcadia , 0083",+27 12 343 5933
Dr Marianthy Vayanos Ophthalmologist,www.stevenlapere.co.za,+27 21 424 1975
Dr N Pupuma Eye Care Practice,www.eyeinstitute.co.za,+27 35 901 7400
Dr Nicholas Davey Ophthalmologist & Eye Surgeon - Pietermaritzburg,"Mthatha, King Sabata Dalindyebo Local Municipality, Eastern Cape, South Africa",+27 33 345 0003
Dr Niel van Wyk,"Cape Town, Western Cape, South Africa",+27 51 011 8848
Dr Nilesh Dahya,"Free State Medical Centre,
 29 Poole Street,
 Brandwag , 9301",+27 11 422 1794
Dr Noluthando Pupuma,"Johannesburg, City of Johannesburg Metropolitan Municipality, Gauteng, South Africa",+27 35 901 7400
Dr Olivia Charlotte Read,"Randfontein, Randfontein Local Municipality, Gauteng, South Africa",+27 41 373 4910
Dr P J L Odendaal Inc,www.retinasurgerycentre.co.za,+27 12 343 2070
Dr P Roux Ophthalmologist Practice Inc - Brooklyn Practice,"44 C J Langehoven Road,
 George , 6529",+27 12 460 2921
Dr P Roux Ophthalmologist Practice Inc - Visiomed Eye And Laser Clinic,"George, George Local Municipality, Western Cape, South Africa",+27 11 476 3113
Dr Petronella Laila Raman-Abdulla,"S 1  Lenmed Randfontein Private Hospital,
Ward Road,
Randfontein , 1759",+27 87 087 2653
Dr Philip Finestone,"Johannesburg, Gauteng, South Africa",+27 41 373 7243
Dr Rajen Pillay Opthalmologist,drdarshanasoma.wordpress.com,+27 11 304 7885
Dr Rajendra (Rajen) Pillay,"Paarl, Drakenstein Local Municipality, Western Cape, South Africa",+27 11 304 7885
Dr Rodney Blumenfeld,"Sandton, City of Johannesburg Metropolitan Municipality, Gauteng, South Africa",+27 11 432 2445
Dr Sanjay Lalloo,"Midrand, Gauteng, South Africa",+27 33 812 2350
Dr Steven Robert Jan Lapere,"Randburg, Gauteng, South Africa",+27 21 671 5154
Dr Suzanne Mari Smith,www.cure.co.za,+27 11 950 5945
Dr Theunis Christoffel Botha,"Bloemfontein, Free State, South Africa",+27 41 373 8800
Dr Ulrich Kunzmann,"Bloemfontein, Mangaung Metropolitan Municipality, Free State, South Africa",+27 12 343 8411
Dr Willem Martin Gerber Inc.,www.health-worx.co.za,+27 21 975 1333
Dr Willem-Martin Gerber,www.medivision.co.za,+27 21 975 1333
Durban Eye & Laser Clinic (Dr Farouk Moosa),"16 Wilderness Road,
 Claremont , 7708",+27 31 207 1538
Durban Optometric Clinic,"601 Protea House, Mark Lane, Durban",+27 31 306 5638
Edendale Hospital - Ophthalmology Dept,"Cantonments Road,
 Accra",+27 33 395 4911
El Menia University Hospital - Department of Ophthalmology,"Limca Road,
 Onitsha",+20 86 234 2501
Elim Hospital - Opthamology Dept,"28 McCord Road,
 Overport , 4091",+27 15 556 3201
Eloff J Z,"Newcastle, Newcastle Local Municipality, KwaZulu-Natal, South Africa",+27 51 522 0237
Embu Level V Hospital - Ophthalmology Dept,"Abuja, Abuja Capital Territory, Nigeria",+254 722 406595
Eye Bank Foundation of S A,"231 Lower Main Road, Observatory",+27 21 447 5151
Eye Doctor Johannesburg - Dr Rabia Moti,"Lenasia South, Gauteng, South Africa",+27 11 480 4098
Eye Foundation Hospital,+256 31 220 0400,+234 1 736 0575
Eye Screening Services cc,To Be Updated,+27 83 268 2657
Eye Slices,"208 Rosies Place Street, Glen Austin",+27 10 224 0134
Eye Specialist in Midrand (Dr Soma Darshana ),"Advanced Durbanville Surgical Centre Limited,
 3 Somerset Street,
 Durbanville , 7550",+27 11 655 5598
Faculty of Medicine and Biomedical Sciences Yaounde - Ophthalmology Dept,"Ibadan, Oyo, Nigeria",+237 223 1122 4
False Bay Hospital - Lion's Eye Clinic,"Life Kingsbury Medical Suites,
 Wilderness Road,
 Claremont , 7708",+27 21 782 1121
Fayoum University Hospital - Department of Ophthalmology,"2 Sam Mbakwe Street,
 Garki 1",+20 84 630 0587
Federal Medical Centre (Asaba) - Ophthalmology Dept,"Plot 2029  National Hospital,
 Independence Avenue,
 Abuja",+234 56 281 483
Federal Medical Centre (Ebute-Metta) - Ophthalmology Dept,+234 80 345 153 81,+234 1 875 0772
Federal Medical Centre (Lokoja) - Ophthalmology Dept,"Lokoja-Ankpa Road,
 Lokoja",+234 58 220 020
Federal Medical Centre (Owo) - Ophthalmology Dept,+234 70 284 375 41,+234 51 241 865
Federal Medical Centre (Yenagoa) - Ophthalmology Dept,"Rue Cannebi̬re,
 Cocody",+234 89 490 096
Fig Tree Health Options - Ophthalmology Dept,"Antananarivo, Analamanga, Madagascar",+254 733 368358
Frere Hospital - Eye Clinic,"Polokwane, Polokwane Local Municipality, Limpopo, South Africa",+27 43 709 2289
Garden Route Eye Clinic - George,www.medivision.co.za,+27 44 874 0126
Gbagada General Hospital - Ophthalmology Dept,"5-8 Harley Street,
 Port-harcourt",+234 1 472 1866
George Hospital - Ophthalmology Out Patients Clinic,"4 Andar  Bairro Maianga,
 1673 Rua Amilcar Cabral,
 Luanda",+27 44 802 4455
Gertrude's Embakasi Clinic - Ophthalmology Clinic,"Nnebisi Road,
 Asaba",+254 20 7206000
Gouws C H,"Premier Health Centre,
 13 MacKay Avenue,
 Blairgowrie , 2194",+27 51 522 8625
Graham Jd Dr Ophthalmology,"33 Geringer St, Witbank, Witbank, Mpumalanga, South Africa",+27 13 692 3320
Graham Jd Dr Ophthalmology,"41 Walter Sisulu St, Middelburg, Middelburg, Limpopo, South Africa",+27 13 282 8343
Graham Jd Dr Ophthalmology,"33 Geringer St, Witbank, Witbank, Mpumalanga, South Africa",+27 13 692 3320
Graham Jd Dr Ophthalmology,"41 Walter Sisulu St, Middelburg, Middelburg, Limpopo, South Africa",+27 13 282 8343
Graham Jd Dr Ophthalmology,"33 Geringer St, Witbank, Witbank, Mpumalanga, South Africa",+27 13 692 3320
Graham Jd Dr Ophthalmology,"41 Walter Sisulu St, Middelburg, Middelburg, Limpopo, South Africa",+27 13 282 8343
Grey's Hospital Eye Clinic,+243 858 004 160,+27 33 897 3116
Groote Schuur Hospital - Department of Ophthalmology,"Addis Ababa, Ethiopia",+27 21 404 3525
Groote Schuur Hospital - Opd Ophthalmology,"Gweru, Midlands, Zimbabwe",+27 21 404 5120
Gweru Provincial Hospital - Ophthalmology Dept,"Cie City,
 1 Avenue Christiani,
 Abidjan",+263 54 221 301
Helen Joseph Hospital - Ophthalmology Dept,"Kampala, Central, Uganda",+27 11 489 0824
Hopital G̩n̩ral De Yopougon - Ophtalmology,"Cicogie,
 Boulevard G̩n̩ral De Gaulle,
 Yopougon",+225 23 005 409
Hopital Regional D'Ebolowa - Ophthtalmology Dept,"Oyo Road,
 Ibadan",+237 222 8333 3
Horizon Eye Care Centre,+234 80 995 878 12,+27 51 502 1900
Hospital Central De Nampula - Ophthalmology Dept,"Castle Road,
 Accra",+258 262 1300 1
Hospital Provincial De Tete - Ophthalmology Department,"Francie van Zijl Drive,
 Parow , 7500",+258 252 2238 0
Houghton Ophthalmologist Dr Peter Challis,"West Rand Eye Centre,
 Cnr Christiaan De Wet & Beverley Drive,
 Constantia Kloof , 1709",+27 11 447 2699
Indafro Ltd,"Millers Building, 6 City Square, Kitwe",+260 212 223 444
Inkosi Albert Luthuli Central Hospital - Opthalmology Dept,"13 B Lafia Road,
 Kaduna",+27 31 240 1262
Institut National De Sante Publique De Cote D'Ivoire (Insp) - Opthalmology Dept,"Eshbilia Business Center,
 King Abdullah Street,
 Cairo",+225 20 220 008
Instituto Do Cora̤̣o (Icor) - Ophthalmology Dept,"Johannesburg, Gauteng, South Africa",+258 21 411 000
Job Shimankana Tabane Provincial Hospital - Ophthalmology,+255 715 421 880,+27 14 590 5148
John Hill Eye Laser Centre,"Lot S77 Parcel 14/32,
 Rue Pasteur Rabe Jean,
 Toamasina , 0501",+27 21 683 0369
Jubilee Hospital - Ophthalmology Dept,"Klerksdorp, City of Matlosana Local Municipality, North West, South Africa",+27 12 717 9313
K Z N Cornea & Eye Association,"Level 5 South Block St Augustine's Hospital, 107 J B Marks Road, Bulwer",+27 31 268 5296
Kalafong Hospital - Ophthalmology Dept,"Ga-Rankuwa, Gauteng, South Africa",+27 12 318 6668
Kampala Hospital - Ophthalmology Dept,"Douala, Littoral, Cameroon",+256 31 2563400
Kiaat Private Hospital - Ophthalmology Dept,+237 699 979 589,+27 13 590 9150
Ladoke Akintola University of Technology (Lautech) Teaching Hospital - Ophthalmology Dept,+234 817 420 9999,+234 35 207 917
Lagoon Hospital Apapa - Ophthalmology Dept,"Area 11,
 5 Malumfashi Close,
 Garki 1",+234 1 628 3812
Lagos Island General Hospital - Ophthalmology Dept,"Port Harcourt, Rivers, Nigeria",+234 1 263 0642
Lagos University Teaching Hospital (L U T H) - Ophthamology Dept,"First Floor Plot 54483  Molapo Crossing Mall,
 Western Bypass,
 Gaborone",+234 1 871 3961
Lazersight,"Suite 105  Netcare Umhlanga Hospital,
 323 Umhlanga Rocks Drive,
 Umhlanga Rocks , 4319",+27 31 582 5253
Lenasia Ophthalmologist (Dr J Ram),"Suite 208  Mulbarton Medical Centre,
 25 True North Road,
 Mulbarton , 2190",+27 11 854 1865
Leratong Hospital - Ophthalmology,"George, George Local Municipality, Western Cape, South Africa",+27 11 411 3711
Life Anncron Hospital - Ophthalmology Dept,"Lokoja, Kogi, Nigeria",+27 18 468 0000
Life Brenthurst Clinic - Ophthalmology Dept,+225 22 48 31 31,+27 11 647 9000
Life Knysna Private Hospital - Ophthalmology Dept,"Cnr Mazowe Street & Baines Avenue,
 Harare",+27 44 384 1083
Life Mercantile Private Hospital - Ophthalmology Dept,"Kampala, Central, Uganda",+27 41 404 0400
Life Pasteur Hospital - Eye Centre,"Durban, KwaZulu-Natal, South Africa",+27 51 520 1239
Life St George's Hospital - Ophthalmology Dept,+234 806 500 1008,+27 41 373 4910
Life St James Hospital - Ophthalmology Theatre,"Cape Town, Western Cape, South Africa",+27 43 722 9685
Life St Mary's Private Hospital - Ophthalmology Theatre,"102a Adeniyi Jones Avenue,
 Ikeja",+27 47 505 5600
Locus Eye Clinic,"Oshakati, Oshana, Namibia",+234 9 623 0102
Madadeni Hospital - Ophthalmology Dept (Eye Clinic),+234 803 534 7293,+27 34 328 8001
Mafikeng Provincial Hospital - Ophthalmology Dept,+260 212 821 633,+27 18 383 2005
Mankweng Hospital - Ophthalmology Dept,"Bujumbura, Burundi",+27 15 267 6551
Masaka Regional Referral Hospital - Ophthalmology Dept,"Plot 6c,
 Windsor Crescent,
 Central Kampala",+256 481 420018
Mbarara Regional Referral Hospital - Ophthalmology Dept,"Kabale - Mbarara Road,
 Mbarara",+256 485 420394
Mbarara University of Science & Technology - Ophthalmology Dept,"Cape Town, Western Cape, South Africa",+256 485 421373
Mecklenburg Hospital - Ophthalmology Dept,+234 80 236 907 49,+27 15 615 0208
Mediclinic Howick - Ophthalmology,+234 703 101 6686,+27 33 330 2456
Mediclinic Vergelegen - Eye Laser Centre,"Main Road, Somerset West",+27 21 852 6447
Mediheal Hospital & Fertility Centre - Ophthalmology Dept,"Temba, Gauteng, South Africa",+254 723 578895
Medivision (Dr B W De Boer),"Cedar Square,
 Bonza Bay Road,
 Beacon Bay , 5241",+27 43 748 4888
Medivision (Edeling J S),"Roodepoort, Gauteng, South Africa",+27 43 748 4888
Menelik Hospital - Ophthalmology Dept,"Bonapriso, Littoral, Cameroon",+254 722 208370
Mengo Hospital - Ophthalmology Dept,"Albert Cook Road,
 Central Kampala",+256 41 4270222
Metropolitan Hospital - Opthalmology Dept,"Buruburu Phase 3,
 Rabai Road,
 Nairobi Central , 00100",+254 20 2002145
Moi Air Base Hospital - Ophthalmology Dept,"Jogoo Road,
 Eastleigh North , 00610",+254 20 6762202
Moi Teaching & Referral Hospital (M T R H) - Ophthalmology Dept,+233 24 355 9076,+254 53 2033471
Nakasero Hospital Ltd - Opthalmology Dept,"20 St James Road,
 Southernwood , 5201",+256 41 4346150
Nakuru Level 5 Hospital - Ophthalmology Dept,"Show Ground Road,
 Nakuru , 20100",+254 51 2215580
Nanyuki Teaching & Referral Hospital - Ophthalmology Dept,"Amassama,
 Amassama",+254 722 478289
National District Hospital - Ophthalmology Dept,"Boulevard Du 15 Avril,
 Niamey",+27 51 405 2154
Naveen Healthcare - Ophthalmology Dept,"Cairo, Cairo Governorate, Egypt",+234 1 903 5830
Netcare Park Lane Hospital - Ophthalmology Dept,"100 Metre Du Station,
 Kumba",+27 11 480 4106
Netcare Queen Mamohato Memorial Hospital - Ophthalmology Ward,+233 30 230 7865,+266 222 2031 9
Netcare U C T Private Academic Hospital - Ophthalmology Dept,"Floor 7 Gold Lane  Eye Clinic,
 Francie van Zijl Drive,
 Parow , 7500",+27 21 404 5060
Netcare Waterfall City Hospital - Ophthalmology Dept,"Nelspruit, Mbombela Local Municipality, Mpumalanga, South Africa",+27 11 304 6600
Newcastle Eye,"Suite 4 & 5,
 49 York Road,
 Newcastle , 2940",+27 34 312 2784
Ngwelezana Hospital - Opthalmology,"Royal Road,
 Moka",+27 35 901 7169
Nhlangano Health Centre - Ophthalmology Dept,"Nnewi, Anambra, Nigeria",+268 220 7824 1
Odadika Eye Hospital,"20 Bathurst Street,
 Port-harcourt",+234 84 335 092
Olabisi Onabanjo University Teaching Hospital - Ophthalmology Dept,"Maua, Isiolo, Kenya",+234 37 640 121
Ophthalmic Centre - Mansoura,"Ebolowa, Sud-Ouest, Cameroon",+20 50 220 2063
Ophthalmological Society of Nigeria,"A-232  Sickle Cell Club,
 Onitsha-Asaba Road,
 Asaba",+234 2 241 3753
Ophthalmological Society of South Africa (O S S A),"6th of October City, Giza Governorate, Egypt",+27 12 347 0048
Orbis Southern Africa,"1st Floor Kings Cross Entrance, 9 Queens Park Avenue, Salt River",+27 21 447 7135
Pauw J C,"Room 203  Pretoria Eye Institute,
 630 Francis Baard Street,
 Arcadia , 0083",+27 12 344 5443
Polyclinique Hotel Dieu Abidjan - Ophthalmology Dept,"1a Takoradi Road,
 Apapa",+225 21 257 919
Polyclinique M̩dico-Chirurgicale De La Cit̩ (Cabinet M̩dical Du Dr Nkoulou) - Ophthalmology Dept,+234 80 954 448 04,+237 222 2857 2
Polyclinique Pasteur - Ophthalmology Dept,+221 338 8994 70,+223 202 9101 0
Polyclinique Sacr̩ Coeur Abidjan - Ophthalmology Dept,"Kumasi, Ashanti, Ghana",+225 22 008 888
Port Elizabeth Eye & Laser Institute,"Cape Town, Western Cape, South Africa",+27 41 373 0239
Port Elizabeth Provincial Hospital - Ophthalmology Dept,"Cnr Magwa Crescent & Mac Mac Avenue,
 Midrand , 1682",+27 41 392 3579
Potchefstroom Hospital - Ophthalmology Dept,"92 Jubilee Road,
 Temba , 0407",+27 18 293 4467
R.A.U. Optometry Department,"Cairo, Cairo Governorate, Egypt",+27 11 489 2603
Raman-Abdulla P Y,"Pietermaritzburg, The Msunduzi Local Municipality, KwaZulu-Natal, South Africa",+27 87 087 2653
Randburg Eye Specialist (Dr Peter Ambrose),"Shop 40  Carlswald Lifestyle Centre,
 New Road,
 Midrand , 1682",+27 11 431 3658
Red Cross Children's Hospital - Ophthalmology Dept,"Accra, Greater Accra, Ghana",+27 21 658 5026
Red Cross Children's Hospital - Opthalmology Clinic,"Klipfontein Road,
 Rondebosch , 7700",+27 21 658 5255
Reddington Hospital (Ikeja) - Ophthalmology Dept,"39 Isaac John Street,
 Ikeja",+234 1 271 5341
Regional Government:HEALTH:Dr George Mukhari Hospital:Ophthalmology,Pretoria,+27 12 529 3118
Retina South Africa - Eastern Cape,"14a Pickering Street, Newton Park",+27 41 363 0164
Retina South Africa - National Office,"2nd Floor Helvetia House, 80 Greenvale Road, Germiston",0860 595 959
Retina South Africa - Northern Gauteng,"335 Jan van Riebeeck Street, Pretoria North",+27 12 546 4715
Retina South Africa - Western Cape (Cape Of Good Hope),"1st Floor House Cloete Wynberg Mews, 10 Brody Road, Wynberg",+27 21 824 6704
Retina Surgery Centre,retinalassociates.co.za,+27 10 110 0369
Retina Surgery Centre (Dr Bernard Wolff),"Port Elizabeth, Eastern Cape, South Africa",+27 10 110 0369
Retinitis South Africa - Gauteng,"2 34th Street, Malvern",+27 11 622 4904
Rivers State University Teaching Hospital - Ophthalmology Dept,+234 81 531 045 15,+234 84 300 120
Rob Ferreira Hospital - Ophthalmology Dept,"Cnr Madiba Drive & Piet Retief Street,
 Nelspruit , 1201",+27 13 741 6229
Robert Mangaliso Sobukwe Hospital - Ophthalmology Dept,+234 80 733 123 80,+27 53 802 2472
SA Society For Cataract and Refractive Surgery,"Eugene Marais Centre, 38 Merriman Avenue, Vereeniging",+27 16 421 4171
Sandton Eye Specialists - Dr Tristian Mann,"19 Anemone Avenue,
 Lenasia , 1827",+27 11 463 3982
Sebokeng Hospital - Ophthalmology Dept,+221 33 859 12 59,+27 16 930 3052
Sefako Makgatho Health Sciences University - Dept of Ophthalmology,"East Legon, Greater Accra, Ghana",+27 12 529 3111
St Francis Hospital - Ophthalmology Dept,"Rue 326,
 Bamako",+256 41 4267013
St Helena Private Hospital - Eye Institute,"35 Eric Emmanuel Crescent,
 Surulere",+27 57 391 4611
St John - Port Elizabeth (Ophthalmic Foundation),"47 Pickering Street, Newton Park",+27 41 364 2701
St John Eye Care Clinic,"Suite 241 2nd Floor Mercantile Hospital, Cnr Kempston & Durban Road, Korsten",+27 41 453 8882
St John Eye Care Hospital,"Old Potchefstroom Road, Diepkloof",+27 11 933 9771
St John's Eye Care Centre - Westbury Eye Clinic,"Cnr Florida Street & Roberts Avenue, Westbury Ext 2",+27 11 673 1041
St John's Ophthalmic Foundation,"468 Johannes Ramokhoase Street, Arcadia",+27 12 324 1620
St John's Ophthalmic Foundation,"36 Oudehuis Street, Somerset West",+27 21 851 7394
St Mary's Lacor Hospital - Ophthalmology Dept,"Gulu-Arua Road,
 Gulu",+256 471 143231
St Theresas Clinic - Eye Clinic,+256 41 434 7258,+268 250 5243 8
Steve Biko Academic Hospital - Ophthalmology Dept,"Molotlegi Street,
 Ga-rankuwa , 0208",+27 12 354 1782
Suez Canal University Hospital - Ophthalmology,"Onitsha, Anambra, Nigeria",+20 64 320 8760
Tambo Memorial Hospital - Ophthalmology Department,"Rivi̩ra Bonoumin,
 Abidjan",+27 11 898 8000
Tembisa Hospital - Eye Clinic,"Dept of Ophthalmology,
 University College Hospital,
 Ibadan",+27 11 923 2172
Tembisa Hospital - Ophthalmology Dept,"Makerere Hill Road,
 Central Kampala",+27 11 923 2183
The Karen Hospital (Nyeri) - Ophthalmology Dept,"Addis Ababa, Ethiopia",+254 727 547214
Thelle Mogoerane Regional Hospital - Dept Ophthamology,"Centurion, Gauteng, South Africa",+27 11 241 5600
Themba Hospital - Opthalmology Dept,"Bloemfontein, Free State, South Africa",+27 13 796 9400
Thika District Hospital - Opthalmology Dept,"General Kago Road,
 Thika , 01000",+254 722 106797
Tshwane District Hospital - Eye Clinic Department,"Suite 3  Grace Palace,
 86 Ago Palace Way,
 Lagos",+27 12 354 5728
Tygerberg Hospital - Ophthalmology Dept,"Nnamdi Azikiwe Byepass,
 Kaduna",+27 21 938 5509
Uli Kunzmann Incorporated,www.eloffeye.co.za,+27 12 343 8411
Univ of Durban - Westville Dept of Ophthalmology,"Section 6,
 1 Hospital Street,
 Madadeni , 2951",+27 31 204 4111
Univ of Kwazulu Natal - Dept of Ophthalmology,+234 80 995 878 12,+27 31 260 4341
Univ of Stellenbosch - Dept of Ophthalmology,"Harare, Zimbabwe",+27 21 938 9380
Univ of The Witwatersrand - Dept of Ophthalmology,"Krugersdorp, Mogale City Local Municipality, Gauteng, South Africa",+27 11 717 2549
University of Calabar Teaching Hospital (U C T H) - Ophthalmology Dept,"Cnr Flint Mazibuko Drive & Industry Road,
 Tembisa , 1632",+234 87 232 055
University of Free State - Ophthalmology Dept,"Zaria, Kaduna, Nigeria",+27 51 405 2151
University of Lagos - Ophthalmology Dept,"Ishaga Road,
 Lagos",+234 1 844 7891
University of Maiduguri Teaching Hospital - Ophthalmology Dept,"University Road,
 Mankweng , 0727",+234 76 232 592
