Name,Phone,Address
Ivan Anton Schewitz,"Room 202 2nd Floor Netcare Waterfall City Hospita,Cnr Magwa Crescent & Mac Mac Avenue, Midrand",+27 11 304 7853
Izak De Villiers Jonker,"Suite 40 West Wing 3rg Flr Netcare Sunninghill Ho,Cnr Nayuki & Witkoppen Road, Sunninghill",+27 11 234 1440
Jakaya Kikwete Cardiac Institute (Jkci),"Alexandra Road,
 Pinelands , 7405",+255 22 215 1379
Jakob Gerhardus Oosthuysen,"Suite 208a 2nd Floor Netcare Greenacres Hospital,Cnr Rochelle & Cape Road, Greenacres",+27 41 363 3713
Jan Izak Cornelius Coetzee,"Suite 103 Sunninghill Hospital,Cnr Witkoppen & Nanyuki Street, Sunninghill",+27 11 806 1778
Johannes Metumo Kaudife Nghaamwa,"West Suites 2nd Floor Unit 25 Lady Pohamba Privat,Cnr Frankie Fredericks & Ombika Street, Kleine Kuppe",+264 83 335 2120
Karin Verschave,"Clinic 1 Suite 320 Zuid-Afrikaans Hospital,293 Bourke Street, Muckleneuk",+27 12 343 0085
Life Entabeni Hospital - Cardiac ICU Dept,"148 Mazisi Kunene Road,
 Bulwer , 4001",+27 31 204 1434
Life Eugene Marais Hospital - Cardiac High Care Unit,"800 Vusi Mzimela Road,
 Cato Manor , 4091",+27 12 334 2716
Life Eugene Marais Hospital - Cardiac ICU,"Busamed Paardevlei Private Hospital,
 4 Gardner Williams Avenue,
 Paardevlei , 7130",+27 12 334 2708
Life Fourways Hospital - Cardiac Ward,"90 Payn Street,
 Pietermaritzburg , 3201",+27 11 875 1380
Life St Dominic's Hospital - Cardiac ICU Dept,"45 St Mark Road,
 Southernwood , 5201",+27 43 703 0061
Life St Dominic's Hospital - Cardiac Theatre,"45 St Mark Road,
 Southernwood , 5201",+27 43 707 9000
Life St George's Hospital - Baobab Tree Ward (Cardiac),"45 St Mark Road,
 Southernwood , 5201",+27 41 392 6069
Life Vincent Pallotti Hospital - Cardiac ICU Dept,"1st Floor,
 33 van Riebeeck Road,
 Kuils River , 7580",+27 21 506 4118
Life Westville Hospital - Cardiac Critical Care Unit (C.C.C.U.),"7 Harry Gwala Road,
 Dawncliffe , 3630",+27 31 251 6869
Life Westville Hospital - Cardiac I C U,"Cnr Hofmeyer Avenue & Joubert Street,
 Vereeniging , 1939",+27 31 251 6885
Louis Pasteur Hospital - Cardiac Theatre,"107 J B Marks Road,
 Bulwer , 4001",+27 12 336 6000
Mandhir Munasur,"Suite 1 2nd Floor Ethekwini Hospital And Heart Ce,Riverhorse Road & Queen Nandi Drive, Newlands East",+27 31 581 2393
Manogran Moopanar,"800 Vusi Mzimela Road,, Cato Manor",+27 31 240 2121
Manuel Augusto Raimundo Dos Santos Rocha,"Avenida Hoji Ya Henda,, Marcal",+244 222 338 721
Mediclinic Bloemfontein - Cardiac ICU Dept,"Cnr Kellner Street & Parfitt Avenue,
 Westdene , 9301",+27 51 404 6718
Mediclinic Heart Hospital - Coronary Cardiac Unit,"696 5th Avenue,
 Les Marais , 0084",+27 12 440 0252
Mediclinic Panorama - Cardiac Theatre Dept,"2nd Floor,
 1 Rothschild Boulevard,
 Panorama , 7500",+27 21 938 2844
Mediclinic Pietermaritzburg - Cardiac ICU Dept,"7 Harry Gwala Road,
 Dawncliffe , 3630",+27 33 845 3700
Mediclinic Vereeniging - Cardiac I.C.U. Dept,"Perbro House,
 85 Klipfontein Road,
 Rondebosch , 7700",+27 16 440 5610
Melomed Gatesville - Cardiac Ward,"Clinic Street,
 Gatesville , 7764",+27 21 637 8100
Midlands Medical Centre Private Hospital - Cardiac Ward,"20 Pine Avenue,
 Kempton Park , 1619",+27 33 341 5000
Midvaal Private Hospital - Cardiac Ward,"Nile Drive,
 Three Rivers , 1929",+27 16 454 6000
Munyaradzi Amos Rumhizha,"7 Cheryln Court Avenues Clinic Premises,52 Cnr Baines Avenue & Mazowe Street, Harare",+263 024 2252689
Naidoo S,"Suite 8 1st Floor  Ascot Park Hospital,
 3 Ascot Street,
 Greyville , 4001",+27 31 374 8090
Nelson Mandela Children's Hospital - Cardiac Ward,"6 Jubilee Road,
 Parktown , 2193",+27 11 133 0654
Netcare Kuils River Hospital - Cardiac Coronary Care Unit,"Life Fourways Hospital,
 Cnr Cedar Road & Cedar Avenue West,
 Fourways , 2191",+27 21 900 6723
Netcare Olivedale Hospital - Cardiac I.C.U,"Cnr President Fouche Drive & Windsor Way,
 Olivedale , 2188",+27 11 777 2084
Netcare Olivedale Hospital - Coronary Cardiac Unit,"Cnr President Fouche Drive & Windsor Way,
 Olivedale , 2188",+27 11 777 2000
Netcare St Augustine's Hospital - Cardiac Care Unit,"Block 5 6th Floor,
 17 Jubilee Road,
 Parktown , 2193",+27 31 268 5000
Netcare St Augustine's Hospital - Cardiac I C U,"107 J B Marks Road,
 Bulwer , 4001",+27 31 268 5000
Netcare Sunninghill Hospital - Cardiac Coronary Care Unit,"Cnr Nanyuki & Witkoppen Road,
 Sunninghill , 2191",+27 11 806 1628
Netcare the Bay Hospital - Cardiac Ward,"Netcare the Bay Hospital,
 6 Kruger Rand Road,
 Richards Bay , 3900",+27 35 780 6111
Netcare Union Hospital - Cardiac ICU,"162-166 Masukwana Street,
 Pietermaritzburg , 3201",+27 11 724 2031
Netcare Unitas Hospital - Cardiac ICU,"Louis Pasteur Medical Centre,
 374 Francis Baard Street,
 Pretoria , 0002",+27 12 677 8095
Prof Francis Edwin Smit,"Room 56  Life Rosepark Hospital,
57 Gustav Crescent,
Fichardt Park , 9301",+27 51 522 0051
Prof Jacques Scherman,"Groote Schuur Hospital,
Anzio Road,
Observatory , 7925",+27 21 406 6181
Prof Johan Givan Brink,"D24 G S H Cardio-Thor Surg Dept  New Main Building,
Anzio Road,
Observatory , 7925",+27 21 404 5017
Prof Johann Brink,"Anzio Road,
Observatory , 7925",+27 21 442 1800
Prof John Philip Hewitson,"Room E46 26  Uct Private Academic Hospital,
Anzio Road,
Observatory , 7925",+27 21 448 7500
Rashoek Ramnunan Sewsunker,"Suite 314 Netcare Greenacres Hospital,Cnr Cape & Rochelle Road, Greenacres",+27 41 363 3733
Raul Jose Correia,"Undisclosed,, Cape Town",+27 82 950 7369
S M Solarsh,"Suite 6 Medical Suites  Killarney Mall,
 60 Riviera Road,
 Killarney , 2193",+27 11 486 4494
Teeluck Kumar Gunness,"Arthur De Bissy Street,, Floreal",+230 5253 0983
Tygerberg Hospital - Medical Cardiac I C U,"Unit A6  Tygerberg Hospital,
 Francie van Zijl Drive,
 Parow , 7500",+27 21 938 6050
Umhlanga Molecular Imaging And Therapy Centre of Excellence,"Suite 5  Medigate Medical Centre,
 Medigate Road,
 Umhlanga Rocks , 4319",+27 31 566 3051
Venter T P Incorporated,"Block 3 Suite 14  Mediclinic Vergelegen,
 Main Road,
 Somerset West , 7130",+27 21 840 7095
William Mahalu,"Geita,Mwatulole Street, Mwanza",+255 786 333 436
Zuid-Afrikaans Hospitaal - Cardiac I C U,"255 Bourke Street,
 Muckleneuk , 0002",+27 12 343 7581
